Group 1,Group 2,Metabolite,U_stat,raw_p_value,corrected_p_value,Significant
None,NegHigh,Histidine [[M+H]],60.5,1.0,1.0,False
None,NegHigh,Imidazoleacetic acid [[M+H]],59.0,0.9736695485890662,1.0,False
None,NegHigh,Inositol [[M+Na]],54.0,0.7124760918479602,0.9147841179282452,False
None,NegHigh,Isomaltose [[M+Na]],44.0,0.2643675346351473,0.7432157756691988,False
None,NegHigh,L-Arginine [[M+H]],91.0,0.04431379228316605,0.6510131840820828,False
None,NegHigh,L-Citrulline [[M+H]],55.5,0.7919134711173048,0.9580560110594161,False
None,NegHigh,L-Lysine [[M+H]],41.5,0.2339481468870832,0.7432157756691988,False
None,NegHigh,L-Threonine [[M+NH4]],66.5,0.6915518253858906,0.9147841179282452,False
None,NegHigh,Linoleic acid [[M+Na]],52.0,0.6205332152811773,0.9136324770794363,False
None,NegHigh,Maltose [[M+K]],52.0,0.5891544654500582,0.9136324770794363,False
None,NegHigh,N-(5-Amino-5-Carboxypentyl)Glutamic Acid [[M+H]],49.0,0.4887178731852695,0.8727588314055371,False
None,NegHigh,N2-Acetyl-L-ornithine [[M+H]],50.0,0.5305805385776337,0.8836864322117004,False
None,NegHigh,Nicotinamide [[M+H]],58.0,0.9212120545847358,1.0,False
None,NegHigh,Oleic acid [[M+Na]],44.0,0.3067620949424035,0.7571739248224143,False
None,NegHigh,P-Hydroxybenzoic Acid [[M-H2O+H]],53.0,0.668216305163999,0.9147841179282452,False
None,NegHigh,Palatinose [[M+K]],52.0,0.5891544654500582,0.9136324770794363,False
None,NegHigh,Phenylethyl alcohol [[M+H]],59.0,0.9736992897368464,1.0,False
None,NegHigh,Pidolic Acid [[M+H]],106.0,0.002698190805807959,0.09353728126800924,False
None,NegHigh,Proline [[M+NH4]],52.5,0.6278910569808784,0.9136324770794363,False
None,NegHigh,Sucrose [[M+K]],62.0,0.9116433808562068,1.0,False
None,NegHigh,Thymine [[M+H]],53.5,0.6922143119076181,0.9147841179282452,False
None,NegHigh,Trehalose [[M+K]],52.0,0.5891544654500582,0.9136324770794363,False
None,NegHigh,Xanthurenic acid [[M+H]],49.0,0.4594064356245321,0.8727588314055371,False
None,NegHigh,d-Desthiobiotin [[M+Na]],71.5,0.468131004501239,0.8727588314055371,False
None,NegHigh,gamma-Glutamylcysteine [[M+H]],61.0,0.9736992897368464,1.0,False
PosHigh,NegHigh,2'-Deoxyguanosine-5'-Diphosphate [[M+H]],63.0,0.8777166830732149,0.9850633277656224,False
PosHigh,NegHigh,2'-Deoxyguanosine-5'-Monophosphate [[M+H]],55.0,0.5181302014501532,0.8785686024589554,False
PosHigh,NegHigh,2'-Deoxyuridine [[M+Na]],69.0,0.8777166830732149,0.9850633277656224,False
PosHigh,NegHigh,5'-Deoxy-5'-Methylthioadenosine [[M+H]],64.0,0.9260798128385481,1.0,False
PosHigh,NegHigh,ATP [[M+H]],72.0,0.7349221933948638,0.9320964404032419,False
PosHigh,NegHigh,Acetyl coenzyme A (Acetyl-CoA) [[M+H]],83.0,0.30307962968521285,0.7571739248224143,False
PosHigh,NegHigh,Ademetionine [[M+H]],59.0,0.6891216451070523,0.9147841179282452,False
PosHigh,NegHigh,Adenine [[M+H]],71.0,0.7818140034887688,0.9528358167519371,False
PosHigh,NegHigh,Adenosine 5'-diphosphate (ADP) [[M+H]],62.0,0.8294475889935782,0.9728858938571293,False
PosHigh,NegHigh,Adenosine phosphate [[M+H]],53.0,0.4417022877906004,0.8613194611916708,False
PosHigh,NegHigh,Adenosine-3'-5'-Diphosphate [[M+H]],63.0,0.8777166830732149,0.9850633277656224,False
PosHigh,NegHigh,Alpha-D-Glucose [[M+Na]],47.0,0.25073315995922896,0.7432157756691988,False
PosHigh,NegHigh,Aminoadipate [[M+Na]],63.0,0.876002961588492,0.9850633277656224,False
PosHigh,NegHigh,Argininosuccinic acid [[M+H]],67.0,0.9754506745843579,1.0,False
PosHigh,NegHigh,Biotin [[M+H]],40.5,0.12296214784832986,0.714822178852094,False
PosHigh,NegHigh,Choline [[M+H]],64.0,0.9221022956949618,1.0,False
PosHigh,NegHigh,Cytidine [[M+H]],58.5,0.6419901155751437,0.9136324770794363,False
PosHigh,NegHigh,D-(+)-Melibiose [[M+K]],60.0,0.7006353419022828,0.9147841179282452,False
PosHigh,NegHigh,D-(+)-Turanose [[M+Na]],36.0,0.05007793723708329,0.6510131840820828,False
